SoundRoomTable,songNumber,songLength,displayCondition,songName
106,FromEnemyToFriendFE4_Song,0,0x0,FromEnemyToFriendFE4_Name
107,Frontier_Song,0,0x0,Frontier_Name
108,GatheringOfHeroesTRS_Song,0,0x0,GatheringOfHeroesTRS_Name
109,Guile_Song,0,0x0,Guile_Name
110,GundamnF19Act12_Song,0,0x0,GundamnF19Act12_Name
111,HarvestDance_Song,0,0x0,HarvestDance_Name
112,InsideTheWhale_Song,0,0x0,InsideTheWhale_Name
113,IsaachArmy_Song,0,0x0,IsaachArmy_Name
114,ItDoesntMatterSA2B_Song,0,0x0,ItDoesntMatterSA2B_Name
115,KKCafe_Song,0,0x0,KKCafe_Name
116,KnightErrant_Song,0,0x0,KnightErrant_Name
117,LightAndDark_Song,0,0x0,LightAndDark_Name
118,LightningSong_Song,0,0x0,LightningSong_Name
119,LikeAGlintOfLight_Song,0,0x0,LikeAGlintOfLight_Name
120,LoZMMStoneTowerTemple_Song,0,0x0,LoZMMStoneTowerTemple_Name
121,LoZTPFaronWoods_Song,0,0x0,LoZTPFaronWoods_Name
122,LuigisMansionTheme_Song,0,0x0,LuigisMansionTheme_Name
123,MarionCourse_Song,0,0x0,MarionCourse_Name
124,MissionStreet_Song,0,0x0,MissionStreet_Name
125,Nightfall_Song,0,0x0,Nightfall_Name
126,OceanicMuseum_Song,0,0x0,OceanicMuseum_Name
127,OneWill_Song,0,0x0,OneWill_Name
128,OssaTrail_Song,0,0x0,OssaTrail_Name
129,PrisonLane_Song,0,0x0,PrisonLane_Name
130,PyramidCaveSA2B_Song,0,0x0,PyramidCaveSA2B_Name
131,Rave_Song,0,0x0,Rave_Name
132,Regal_Song,0,0x0,Regal_Name
133,RevengeFE6_Song,0,0x0,RevengeFE6_Name
134,RiseToTheChallenge_Song,0,0x0,RiseToTheChallenge_Name
135,Ronald_Song,0,0x0,Ronald_Name
136,ShipsAndHomes_Song,0,0x0,ShipsAndHomes_Name
137,SilverWill_Song,0,0x0,SilverWill_Name
138,SMB2Boss_Song,0,0x0,SMB2Boss_Name
139,SMB2MonkyGolf_Song,0,0x0,SMB2MonkyGolf_Name
140,SML2StarCourseLooped_Song,0,0x0,SML2StarCourseLooped_Name
141,SpaceLand_Song,0,0x0,SpaceLand_Name
142,SplashWave_Song,0,0x0,SplashWave_Name
143,StalwartOppositionFE3_Song,0,0x0,StalwartOppositionFE3_Name
144,StarFox64Map_Song,0,0x0,StarFox64Map_Name
145,StarWolf_Song,0,0x0,StarWolf_Name
146,StrikeFE7_Song,0,0x0,StrikeFE7_Name
147,SunsetBay_Song,0,0x0,SunsetBay_Name
148,TheInnFE7_Song,0,0x0,TheInnFE7_Name
149,TheRoost_Song,0,0x0,TheRoost_Name
150,ToadstoolTourSkinsMatch_Song,0,0x0,ToadstoolTourSkinsMatch_Name
151,ToSLawOfBattle_Song,0,0x0,ToSLawOfBattle_Name
152,TouchFuzzyGetDizzy_Song,0,0x0,TouchFuzzyGetDizzy_Name
153,TS_CombatResistance_Song,0,0x0,TS_CombatResistance_Name
154,VenusLighthouse_Song,0,0x0,VenusLighthouse_Name
155,Verdanturf_Song,0,0x0,Verdanturf_Name
156,VoicesOfTheTemple_Song,0,0x0,VoicesOfTheTemple_Name
157,VsRocketLeader_Song,0,0x0,VsRocketLeader_Name
158,WarioBattleCanyon_Song,0,0x0,WarioBattleCanyon_Name
159,WaterWorld_Song,0,0x0,WaterWorld_Name
160,FE12BeforeBattleSwiftSaturn_Song,0,0x0,FE12BeforeBattleSwiftSaturn_Name
161,ToTheSorrowfulBattlefield_Song,0,0x0,ToTheSorrowfulBattlefield_Name
162,WhiteStorm_Song,0,0x0,WhiteStorm_Name
163,FriendshipAndAdventure_Song,0,0x0,FriendshipAndAdventure_Name
164,EnemiesAppear_Song,0,0x0,EnemiesAppear_Name
165,YoshiSafariGrassland_Song,0,0x0,YoshiSafariGrassland_Name
166,WindAcrossThePlains_Song,0,0x0,WindAcrossThePlains_Name
167,Wizardry3AdventurersInn_Song,0,0x0,Wizardry3AdventurersInn_Name
168,LoZWWGreatSea_Song,0,0x0,LoZWWGreatSea_Name
169,GuardicGaidenTanmei_Song,0,0x0,GuardicGaidenTanmei_Name
170,SMRPGTrouble_Song,0,0x0,SMRPGTrouble_Name
171,FinalCommandRedFortressBoss_Song,0,0x0,FinalCommandRedFortressBoss_Name
172,RPGMaker2BGM007_Song,0,0x0,RPGMaker2BGM007_Name
173,RPGMaker1BGM022_Song,0,0x0,RPGMaker1BGM022_Name
174,BoF2Battle_Song,0,0x0,BoF2Battle_Name
175,BoF2BossBattle_Song,0,0x0,BoF2BossBattle_Name
176,SailorMoonRForest_Song,0,0x0,SailorMoonRForest_Name
177,SailorMoonRCrystalTokyo_Song,0,0x0,SailorMoonRCrystalTokyo_Name
178,LoZOoAMermaidCave_Song,0,0x0,LoZOoAMermaidCave_Name
179,LoZOoATroubleOnTheRaft_Song,0,0x0,LoZOoATroubleOnTheRaft_Name
180,KBBStage5_Song,0,0x0,KBBStage5_Name
181,KBBBoss_Song,0,0x0,KBBBoss_Name
182,BattleToadSurf_Song,0,0x0,BattleToadSurf_Name
183,DWM2Battle_Song,0,0x0,DWM2Battle_Name
184,MULETheme_Song,0,0x0,MULETheme_Name
185,SBKBoardShop_Song,0,0x0,SBKBoardShop_Name
186,LiveALiveFineWeather_Song,0,0x0,LiveALiveFineWeather_Name
187,LiveALiveMegalomania_Song,0,0x0,LiveALiveMegalomania_Name
188,OmoriForestFrenzy_Song,0,0x0,OmoriForestFrenzy_Name
189,SegaCDBIOS_Song,0,0x0,SegaCDBIOS_Name
190,PowerPros3PennantHappyEnd_Song,0,0x0,PowerPros3PennantHappyEnd_Name
TERMINATOR,0xFFFFFFFF,0,0x0,0x0
